Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,6245,Poowong Consolidated School,Primary,O,5 Gardner Lane,,Poowong,VIC,3988,5 Gardner Lane,,POOWONG,VIC,3988,03 5659 2356,617,South Gippsland (S),-38.34248,145.7697
Government,1,6247,Port Fairy Consolidated School,Primary,O,Albert Street,,Port Fairy,VIC,3284,P.O.Box 190,,PORT FAIRY,VIC,3284,03 5568 1051,549,Moyne (S),-38.38662,142.22822
Government,1,6249,Red Hill Consolidated School,Primary,O,341 Arthurs Seat Road,,Red Hill,VIC,3937,341 Arthurs Seat Road,,RED HILL,VIC,3937,03 5989 2321,534,Mornington Peninsula (S),-38.36668,144.99527
Government,1,6252,Sherbrooke Community School,Pri/Sec,O,311 Mt Dandenong Tourist Road,,Sassafras,VIC,3787,311 Mt Dandenong Tourist Road,,SASSAFRAS,VIC,3787,03 9755 2007,745,Yarra Ranges (S),-37.86824,145.34944
Government,1,6255,Tongala Primary School,Primary,O,28 Miller Street,,Tongala,VIC,3621,28 Miller Street,,TONGALA,VIC,3621,03 5859 0551,137,Campaspe (S),-36.25215,144.95652
Government,1,6257,Werrimull P-12 School,Pri/Sec,O,5 McDonald Street,,Werrimull,VIC,3496,Post Office,,WERRIMULL,VIC,3496,03 5028 1251,478,Mildura (RC),-34.39041,141.59384
Government,1,6259,Camperdown College,Pri/Sec,O,1 Wilson Street,,Camperdown,VIC,3260,P O Box 83,,CAMPERDOWN,VIC,3260,03 5593 1617,183,Corangamite (S),-38.23973,143.14544
Government,1,6260,Timboon P-12 School,Pri/Sec,O,Bailey Street,,Timboon,VIC,3268,P O Box 82,,TIMBOON,VIC,3268,03 5598 3381,183,Corangamite (S),-38.48406,142.97589
Government,1,6261,Virtual School Victoria,Pri/Sec,O,315 Clarendon Street,,Thornbury,VIC,3071,315 Clarendon Street,,THORNBURY,VIC,3071,03 8480 0000,189,Darebin (C),-37.76204,145.0257
Government,1,6262,Wedderburn College,Pri/Sec,O,15-29 Hospital Street,,Wedderburn,VIC,3518,P O Box 20,,WEDDERBURN,VIC,3518,03 5494 3011,394,Loddon (S),-36.41702,143.61877
Government,1,7028,Mount Erin Secondary College,Secondary,O,43 Robinsons Road,,Frankston South,VIC,3199,43 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,03 5971 6000,217,Frankston (C),-38.17412,145.14663
Government,1,7050,Box Hill Senior Secondary College,Secondary,O,Dunloe Avenue,,Mont Albert North,VIC,3129,DUNLOE AVENUE,,MONT ALBERT NORTH,VIC,3129,03 9890 0571,698,Whitehorse (C),-37.80924,145.11191
Government,1,7081,Edgars Creek Secondary College,Secondary,O,2 Steen Avenue,,Wollert,VIC,3750,Macedon Pde and Edgars Rd,,Wollert,VIC,3750,03 9134 8200,707,Whittlesea (C),-37.60949,145.00507
Government,1,7082,Elevation Secondary College,Secondary,O,199 Elevation Boulevard,,Craigieburn,VIC,3064,PO Box 690,,Craigieburn,VIC,3064,03 8339 8000,327,Hume (C),-37.59829,144.89025
Government,1,7088,Cobden Technical School,Secondary,O,Mckenzie Street,,Cobden,VIC,3266,P O Box 106,,COBDEN,VIC,3266,03 5595 1202,183,Corangamite (S),-38.32404,143.06361
Government,1,7108,Lyndhurst Secondary College,Secondary,O,950 South Gippsland Highway,,Cranbourne,VIC,3977,P O Box 711,,CRANBOURNE,VIC,3977,03 5996 0144,161,Casey (C),-38.07539,145.27103
Government,1,7115,Daylesford Secondary College,Secondary,O,39 Smith Street,,Daylesford,VIC,3460,P O Box 349,,DAYLESFORD,VIC,3460,03 5348 2367,291,Hepburn (S),-37.33467,144.15185
