Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,2069,Katamatite Primary School,Primary,O,4 - 6 Currajong Avenue,,Katamatite,VIC,3649,4 - 6 Currajong Avenue,,Katamatite,VIC,3649,03 5865 1242,490,Moira (S),-36.07735,145.6853
Government,1,2072,Buangor Primary School,Primary,O,26 School Road,,Buangor,VIC,3375,26 School Road,,BUANGOR,VIC,3375,03 5354 5513,26,Ararat (RC),-37.36404,143.17502
Government,1,2087,Leitchville Primary School,Primary,O,2-4 Hawken Street,,Leitchville,VIC,3567,2-4 Hawken Street,,LEITCHVILLE,VIC,3567,03 5456 7438,225,Gannawarra (S),-35.90955,144.30209
Government,1,2090,Whittlesea Primary School,Primary,O,2425-2435 Plenty Road,,Whittlesea,VIC,3757,P O Box 446,,WHITTLESEA,VIC,3757,03 9716 2140,707,Whittlesea (C),-37.51427,145.11405
Government,1,2093,Little Bendigo Primary School,Primary,O,8 Monte Street,,Nerrina,VIC,3350,8 Monte St,,Nerrina,VIC,3350,03 5332 6317,57,Ballarat (C),-37.5429,143.89506
Government,1,2103,Urquhart Park Primary School,Primary,O,49 Inkerman Street,,Ballarat,VIC,3350,"49 Inkerman Street,",,BALLARAT,VIC,3350,03 5330 5400,57,Ballarat (C),-37.56602,143.83122
Government,1,2104,Warragul Primary School,Primary,O,44 Bowen Street,,Warragul,VIC,3820,P O Box 355,,WARRAGUL,VIC,3820,03 5623 2460,83,Baw Baw (S),-38.15634,145.92814
Government,1,2105,Kangaroo Ground Primary School,Primary,O,Cr Graham&Eltham-Yarra Glen Rd,,Kangaroo Ground,VIC,3097,C/O Post Office,,KANGAROO GROUND,VIC,3097,03 9712 0292,571,Nillumbik (S),-37.69174,145.21466
Government,1,2114,Traralgon South Primary School,Primary,O,13 - 19 Keith Morgan Drive,,Traralgon South,VIC,3844,RMB 3015,,TRARALGON SOUTH,VIC,3844,03 5195 5244,381,Latrobe (C),-38.29726,146.54015
Government,1,2118,Coleraine Primary School,Primary,O,124 Church Street,,Coleraine,VIC,3315,P O Box 40,,Coleraine,VIC,3315,03 5575 2057,626,Southern Grampians (S),-37.60184,141.68404
Government,1,2122,Lake Charm Primary School,Primary,O,1939 Murray Valley Highway,,Lake Charm,VIC,3581,1939 Murray Valley Highway,,LAKE CHARM,VIC,3581,03 5457 9244,225,Gannawarra (S),-35.60664,143.80023
Government,1,2129,Ripplebrook Primary School,Primary,O,2260 Westernport Road,,Ripplebrook,VIC,3818,2260 Westernport Road,,RIPPLEBROOK,VIC,3818,03 5627 6278,83,Baw Baw (S),-38.20349,145.75849
Government,1,2134,Numurkah Primary School,Primary,O,12 Quinn Street,,Numurkah,VIC,3636,P O Box 230,,NUMURKAH,VIC,3636,03 5862 1426,490,Moira (S),-36.09024,145.445
Government,1,2142,Moe (Albert Street) Primary School,Primary,O,40 Albert Street,,Moe,VIC,3825,P O Box 274,,MOE,VIC,3825,03 5127 1966,381,Latrobe (C),-38.17471,146.26435
Government,1,2143,Geelong South Primary School,Primary,O,200 Yarra Street,,South Geelong,VIC,3220,P O Box 128,,GEELONG,VIC,3220,03 5221 4047,275,Greater Geelong (C),-38.15694,144.35857
Government,1,2163,Bayswater Primary School,Primary,O,2 Birch Street,,Bayswater,VIC,3153,P O Box 82,,BAYSWATER,VIC,3153,03 9721 3755,367,Knox (C),-37.8433,145.25936
Government,1,2167,Minyip Primary School,Primary,O,21 Main Street,,Minyip,VIC,3392,P O Box 47,,MINYIP,VIC,3392,03 5385 7485,763,Yarriambiack (S),-36.46271,142.5841
Government,1,2172,Mulgrave Primary School,Primary,O,Gladeswood Drive,,Mulgrave,VIC,3170,Gladeswood Drive,,MULGRAVE,VIC,3170,03 9795 2477,497,Monash (C),-37.93295,145.19737
Government,1,2178,Yarragon Primary School,Primary,O,65 Loch Street,,Yarragon,VIC,3823,PO Box 132,,YARRAGON,VIC,3823,03 5634 2375,83,Baw Baw (S),-38.20937,146.06096
Government,1,2182,Tyers Primary School,Primary,O,Main Road,,Tyers,VIC,3844,Main Road,,TYERS,VIC,3844,03 5191 8260,381,Latrobe (C),-38.14911,146.47754
Government,1,2185,Trafalgar Primary School,Primary,O,84 School Road,,Trafalgar,VIC,3824,Locked Bag 2,,TRAFALGAR,VIC,3824,03 5633 1566,83,Baw Baw (S),-38.21476,146.15987
Government,1,2188,Kinglake Primary School,Primary,O,20 Mcmahons Rd,,Kinglake,VIC,3763,20 McMahons Rd,,KINGLAKE,VIC,3763,03 5786 1284,562,Murrindindi (S),-37.52157,145.35664
Government,1,2189,Ellinbank Primary School,Primary,O,13 Community Place,,Ellinbank,VIC,3821,13 Community Place,,ELLINBANK,VIC,3821,03 5626 1338,83,Baw Baw (S),-38.24023,145.93563
Government,1,2216,Tambo Upper Primary School,Primary,O,890 Tambo Upper Road,,Tambo Upper,VIC,3885,890 Tambo Upper Road,,BRUTHEN,VIC,3885,03 5156 4327,211,East Gippsland (S),-37.7662,147.8452
Government,1,2222,Baranduda Primary School,Primary,O,7 Verbena Street,,Baranduda,VIC,3691,7 Verbena Street,,BARANDUDA,VIC,3691,02 6020 8531,717,Wodonga (C),-36.18053,146.94812
Government,1,2225,Tungamah Primary School,Primary,O,15 -17 Tower Street,,Tungamah,VIC,3728,PO Box 35,,TUNGAMAH,VIC,3728,03 5748 5627,490,Moira (S),-36.16131,145.87947
Government,1,2229,Bunyip Primary School,Primary,O,1290 Nar Nar Goon - Longwarry Road,,Bunyip,VIC,3815,PO Box 12,,BUNYIP,VIC,3815,03 5629 5462,145,Cardinia (S),-38.09884,145.71251
Government,1,2231,Gunbower Primary School,Primary,O,School Road,,Gunbower,VIC,3566,P O Box 64,,GUNBOWER,VIC,3566,03 5487 1323,137,Campaspe (S),-35.95463,144.37232
Government,1,2248,Nar Nar Goon Primary School,Primary,O,27 Spencer Street,,Nar Nar Goon,VIC,3812,27 Spencer St,,NAR NAR GOON,VIC,3812,03 5942 5311,145,Cardinia (S),-38.08277,145.57401
Government,1,2253,Toora Primary School,Primary,O,5 Harriet Street,,Toora,VIC,3962,5 Harriet Street,,TOORA,VIC,3962,03 5686 2283,617,South Gippsland (S),-38.66352,146.32799
Government,1,2259,Montrose Primary School,Primary,O,17-21 Leith Road,,Montrose,VIC,3765,P O Box 123,,MONTROSE,VIC,3765,03 9728 2203,745,Yarra Ranges (S),-37.8081,145.34369
Government,1,2265,Koondrook Primary School,Primary,O,9 Punt Road,,Koondrook,VIC,3580,P O Box 8,,KOONDROOK,VIC,3580,03 5453 2428,225,Gannawarra (S),-35.63487,144.12987
Government,1,2269,Katunga South Primary School,Primary,O,245 Hays Road,,Katunga,VIC,3640,245 Hays Road,,KATUNGA,VIC,3640,03 5864 6212,490,Moira (S),-36.01838,145.45894
Government,1,2271,Magpie Primary School,Primary,O,61 Docwra Street,,Magpie,VIC,3352,61 Docwra Street,,Magpie,VIC,3352,03 5335 8851,57,Ballarat (C),-37.61571,143.84327
Government,1,2282,Tawonga Primary School,Primary,O,Kiewa Valley Highway,,Tawonga,VIC,3697,Post Office,,TAWONGA,VIC,3697,03 5754 4468,11,Alpine (S),-36.6914,147.14325
Government,1,2295,Narracan Primary School,Primary,O,32 School Road,,Narracan,VIC,3824,32 School Road,,Narracan,VIC,3824,03 5634 8215,83,Baw Baw (S),-38.26158,146.23163
Government,1,2313,Drouin South Primary School,Primary,O,3061 Westernport Road,,Drouin South,VIC,3818,P O Box 127,,DROUIN,VIC,3818,03 5627 6286,83,Baw Baw (S),-38.17057,145.82682
Government,1,2318,Eskdale Primary School,Primary,O,3790 Omeo Highway,,Eskdale,VIC,3701,3790 Omeo Highway,,ESKDALE,VIC,3701,0438 678 347,667,Towong (S),-36.46527,147.25125
Government,1,2319,Darnum Primary School,Primary,O,6 Graham Street,,Darnum,VIC,3822,6 Graham Street,,DARNUM,VIC,3822,03 5627 8273,83,Baw Baw (S),-38.18773,145.9997
Government,1,2327,Moorooduc Primary School,Primary,O,Cnr Derril Rd & Mornington Tyabb Rd,,Moorooduc,VIC,3933,Cnr.Derril Rd & M'ton Tyabb Rd,,MOOROODUC,VIC,3933,03 5978 8330,534,Mornington Peninsula (S),-38.24809,145.10517
Government,1,2329,The Basin Primary School,Primary,O,Cnr Liverpool Road & Mountain Highway,,The Basin,VIC,3154,P O Box 29,,THE BASIN,VIC,3154,03 9762 1143,367,Knox (C),-37.84951,145.30842
Government,1,2343,Paynesville Primary School,Primary,O,31 - 47 Ashley Street,,Paynesville,VIC,3880,P O Box 38,,PAYNESVILLE,VIC,3880,03 5156 6334,211,East Gippsland (S),-37.91128,147.7147
Government,1,2367,Epsom Primary School,Primary,O,Howard Street,,Epsom,VIC,3551,P O Box 362,,EPSOM,VIC,3551,03 5448 4318,262,Greater Bendigo (C),-36.70505,144.31269
Government,1,2374,Kensington Primary School,Primary,O,Mccracken Street,,Kensington,VIC,3031,McCracken Street,,KENSINGTON,VIC,3031,03 9376 6013,460,Melbourne (C),-37.79267,144.92762
Government,1,2382,Hazelwood North Primary School,Primary,O,121 Church Road,,Hazelwood North,VIC,3840,121 Church Road,,HAZELWOOD NORTH,VIC,3840,03 5166 1267,381,Latrobe (C),-38.26819,146.44768
Government,1,2383,Mirboo North Primary School,Primary,O,Balook Street,,Mirboo North,VIC,3871,Balook Street,,MIRBOO NORTH,VIC,3871,03 5668 1375,617,South Gippsland (S),-38.40049,146.15109
Government,1,2419,Yinnar Primary School,Primary,O,30 Main Street,,Yinnar,VIC,3869,30 Main Street,,YINNAR,VIC,3869,03 5163 1362,381,Latrobe (C),-38.32109,146.32891
Government,1,2432,Neerim South Primary School,Primary,O,180 Main Neerim Road,,Neerim South,VIC,3831,180 Main Neerim Rd,,NEERIM SOUTH,VIC,3831,03 5628 1254,83,Baw Baw (S),-38.01531,145.95536
Government,1,2436,Ivanhoe Primary School,Primary,O,122 Waterdale Road,,Ivanhoe,VIC,3079,122 WATERDALE ROAD,,IVANHOE,VIC,3079,03 9499 1880,66,Banyule (C),-37.76657,145.04298
Government,1,2455,Portarlington Primary School,Primary,O,100 Newcombe Street,,Portarlington,VIC,3223,100 Newcombe Street,,PORTARLINGTON,VIC,3223,03 5259 2572,275,Greater Geelong (C),-38.11552,144.65498
Government,1,2457,Menzies Creek Primary School,Primary,O,12 School Road,,Menzies Creek,VIC,3159,PO BOX 90,,THE PATCH,VIC,3792,03 9754 3695,745,Yarra Ranges (S),-37.91735,145.39427
Government,1,2460,St Kilda Park Primary School,Primary,O,68 Fitzroy Street,,St Kilda,VIC,3182,68 Fitzroy Street,,ST KILDA,VIC,3182,03 8598 6444,590,Port Phillip (C),-37.85812,144.97779
Government,1,2471,Labertouche Primary School,Primary,O,35 School Road,,Labertouche,VIC,3816,"35 School Road,",,LABERTOUCHE,VIC,3816,03 5628 7503,83,Baw Baw (S),-38.03767,145.80494
Government,1,2479,Diggers Rest Primary School,Primary,O,Plumpton Road,,Diggers Rest,VIC,3427,Plumpton Road,,DIGGERS REST,VIC,3427,03 9740 1391,465,Melton (C),-37.62263,144.70923
Government,1,2505,Longwarry Primary School,Primary,O,5 McCrae Street,,Longwarry,VIC,3816,5 McCrae Street,,LONGWARRY,VIC,3816,03 5629 9376,83,Baw Baw (S),-38.1141,145.76914
Government,1,2506,Gembrook Primary School,Primary,O,50 Main Street,,Gembrook,VIC,3783,50 Main Street,,Gembrook,VIC,3783,03 5968 1313,145,Cardinia (S),-37.95164,145.54532
Government,1,2518,Wurruk Primary School,Primary,O,13 -19 Fisk Street,,Wurruk,VIC,3850,13 - 19 Fisk Street,,WURRUK,VIC,3850,03 5144 2975,681,Wellington (S),-38.1068,147.03995
Government,1,2520,Willow Grove Primary School,Primary,O,39-45 Moe-Willow Grove Road,,Willow Grove,VIC,3825,39-45 Moe-willow Grove Road,,WILLOW GROVE,VIC,3825,03 5635 2271,83,Baw Baw (S),-38.07139,146.17734
Government,1,2541,Hoddles Creek Primary School,Primary,O,700 Gembrook-Launching Place Road,,Hoddles Creek,VIC,3139,700 Gembrook-Launching PlaceRd,,HODDLES CREEK,VIC,3139,03 5967 4282,745,Yarra Ranges (S),-37.83174,145.59775
Government,1,2560,Beaconsfield Upper Primary School,Primary,O,40 Stoney Creek Road,,BEACONSFIELD UPPER,VIC,3808,P O Box 403,,BEACONSFIELD UPPER,VIC,3808,03 5944 3591,145,Cardinia (S),-37.9954,145.41476
Government,1,2563,Congupna Primary School,Primary,O,3580 Katamatite Road,,Congupna,VIC,3633,3580 Katamatite Road,,CONGUPNA,VIC,3633,03 5829 9286,283,Greater Shepparton (C),-36.29987,145.43428
Government,1,2571,Redesdale Mia Mia Primary School,Primary,O,31 School Road,,Redesdale,VIC,3444,P O Box 00090,,REDESDALE,VIC,3444,03 5425 3155,262,Greater Bendigo (C),-37.01952,144.53089
Government,1,2586,Malvern Primary School,Primary,O,17 Tooronga Road,,Malvern East,VIC,3145,17 Tooronga Road,,MALVERN EAST,VIC,3145,03 9571 6281,635,Stonnington (C),-37.87159,145.03846
Government,1,2599,Launching Place Primary School,Primary,O,Carter Street,,Launching Place,VIC,3139,Carter Street,,Launching Place,VIC,3139,03 5964 7783,745,Yarra Ranges (S),-37.7825,145.57077
Government,1,2605,Carlton Gardens Primary School,Primary,O,215 Rathdowne Street,,Carlton,VIC,3053,215 Rathdowne St,,CARLTON,VIC,3053,03 9663 6502,460,Melbourne (C),-37.80205,144.96951
Government,1,2608,Ascot Vale Primary School,Primary,O,Bank Street,,Ascot Vale,VIC,3032,Bank Street,,ASCOT VALE,VIC,3032,03 9370 6507,506,Moonee Valley (C),-37.77432,144.92612
Government,1,2617,Boolarra Primary School,Primary,O,Tarwin Street,,Boolarra,VIC,3870,P O Box 249,,BOOLARRA,VIC,3870,03 5169 6471,381,Latrobe (C),-38.38287,146.26887
Government,1,2627,Rosebud Primary School,Primary,O,Point Nepean Road,,Rosebud,VIC,3939,P O Box 504,,ROSEBUD,VIC,3939,03 5986 8274,534,Mornington Peninsula (S),-38.35576,144.909
Government,1,2629,Koo Wee Rup Primary School,Primary,O,Moody Street,,Koo Wee Rup,VIC,3981,P O Box 3,,KOO WEE RUP,VIC,3981,03 5997 1272,145,Cardinia (S),-38.19483,145.49286
Government,1,2634,Armadale Primary School,Primary,O,9-23 Densham Road,,Armadale,VIC,3143,9-23 Densham Road,,ARMADALE,VIC,3143,03 9822 7003,635,Stonnington (C),-37.85219,145.01777
Government,1,2655,Osborne Primary School,Primary,O,120 Craigie Rd,,Mount Martha,VIC,3934,120 Craigie Rd,,MOUNT MARTHA,VIC,3934,03 5975 1792,534,Mornington Peninsula (S),-38.25711,145.04091
Government,1,2656,Somerville Primary School,Primary,O,37 Eramosa Road East,,Somerville,VIC,3912,P O Box 881,,SOMERVILLE,VIC,3912,03 5977 5421,534,Mornington Peninsula (S),-38.22402,145.17914
Government,1,2662,Willaura Primary School,Primary,O,14 Warranooke Street,,Willaura,VIC,3379,14 Warranooke Street,,WILLAURA,VIC,3379,03 5354 1401,26,Ararat (RC),-37.54469,142.73946
Government,1,2667,Echuca East Primary School,Primary,O,21-31 Eyre Street,,Echuca,VIC,3564,P O Box 723,,ECHUCA,VIC,3564,03 5482 2588,137,Campaspe (S),-36.13405,144.76111
Government,1,2672,Lakes Entrance Primary School,Primary,O,49 Myer Street,,Lakes Entrance,VIC,3909,49 Myer Street,,LAKES ENTRANCE,VIC,3909,03 5155 1812,211,East Gippsland (S),-37.87598,147.99424
Government,1,2677,Myrrhee Primary School,Primary,O,1673 Benalla-whitfield Road,,Myrrhee,VIC,3732,1673 Benalla-Whitfield Road,,Myrrhee,VIC,3732,03 5729 7524,670,Wangaratta (RC),-36.73819,146.31825
Government,1,2707,Longwood Primary School,Primary,O,1-21 Hurley Street,,Longwood,VIC,3665,1-21 Hurley St,,LONGWOOD,VIC,3665,03 5798 5386,643,Strathbogie (S),-36.80793,145.42206
Government,1,2708,Forrest Primary School,Primary,O,10 Grant Street,,Forrest,VIC,3236,10 Grant Street,,FORREST,VIC,3236,03 5236 6393,175,Colac-Otway (S),-38.51629,143.71442
Government,1,2711,Fairfield Primary School,Primary,O,Langridge Street,,Fairfield,VIC,3078,P O Box 123,,FAIRFIELD,VIC,3078,03 9489 2966,189,Darebin (C),-37.77799,145.0204
Government,1,2712,Nilma Primary School,Primary,O,76 Bloomfield Road,,Nilma,VIC,3821,76 Bloomfield Road,,NILMA,VIC,3821,03 5623 2963,83,Baw Baw (S),-38.16574,145.97429
Government,1,2724,Garfield Primary School,Primary,O,84 Railway Avenue,,Garfield,VIC,3814,84 Railway Ave,,GARFIELD,VIC,3814,03 5629 2274,145,Cardinia (S),-38.09056,145.67415
Government,1,2730,Yinnar South Primary School,Primary,O,Brewsters Road,,Yinnar South,VIC,3869,Brewsters Road,,YINNAR SOUTH,VIC,3869,03 5169 1540,381,Latrobe (C),-38.36891,146.36481
Government,1,2742,Officer Primary School,Primary,O,13-23 Tivendale Rd,,Officer,VIC,3809,13-23 Tivendale Rd,,OFFICER,VIC,3809,03 5943 2315,145,Cardinia (S),-38.05828,145.41018
Government,1,2743,Brunswick South Primary School,Primary,O,56 Brunswick Road,,Brunswick East,VIC,3057,56 Brunswick Road,,BRUNSWICK EAST,VIC,3057,03 9380 1231,525,Moreland (C),-37.7787,144.97254
Government,1,2744,Orbost Primary School,Primary,O,10 Ruskin Street,,Orbost,VIC,3888,P O Box 151,,ORBOST,VIC,3888,03 5154 1119,211,East Gippsland (S),-37.70791,148.45772
Government,1,2776,Inverloch Primary School,Primary,O,Bayview Avenue,,Inverloch,VIC,3996,P O Box 159,,INVERLOCH,VIC,3996,03 5674 1253,74,Bass Coast (S),-38.6312,145.72862
Government,1,2778,Surrey Hills Primary School,Primary,O,2 Beatrice Avenue,,Surrey Hills,VIC,3127,2 Beatrice Avenue,,SURREY HILLS,VIC,3127,03 9890 1560,698,Whitehorse (C),-37.82553,145.1009
Government,1,2784,Montague Continuing Education Centre,Special,O,100 Montague Street,,South Melbourne,VIC,3205,100 Montague Street,,SOUTH MELBOURNE,VIC,3205,03 9690 3535,590,Port Phillip (C),-37.8306,144.94974
Government,1,2790,Strathmerton Primary School,Primary,O,Findlay Street,,Strathmerton,VIC,3641,P O Box 197,,STRATHMERTON,VIC,3641,03 5874 5295,490,Moira (S),-35.92402,145.47884
Government,1,2805,Laharum Primary School,Primary,O,1574 Northern Grampians Road,,Laharum,VIC,3401,1574 Northern Grampians Road,,LAHARUM,VIC,3401,03 5383 6202,319,Horsham (RC),-36.94535,142.32331
Government,1,2806,Walwa Primary School,Primary,O,Murray River Road,,Walwa,VIC,3709,P O Box 28,,WALWA,VIC,3709,02 6037 1380,667,Towong (S),-35.96423,147.73215
Government,1,2815,Middle Park Primary School,Primary,O,194 Richardson Street,,Middle Park,VIC,3206,194 Richardson Street,,MIDDLE PARK,VIC,3206,03 9690 1336,590,Port Phillip (C),-37.8478,144.95751
Government,1,2820,Seville Primary School,Primary,O,639 Warburton Highway,,Seville,VIC,3139,639 WARBURTON HWY,,SEVILLE,VIC,3139,03 5964 4557,745,Yarra Ranges (S),-37.77389,145.46441
Government,1,2832,Yarraville West Primary School,Primary,O,30 Powell Street,,Yarraville,VIC,3013,P O Box 138,,YARRAVILLE,VIC,3013,03 9314 3816,433,Maribyrnong (C),-37.81475,144.88539
Government,1,2837,Moreland Primary School,Primary,O,157-163 Moreland Road,,Coburg,VIC,3058,P O Box 10,,MORELAND,VIC,3058,03 9386 2510,525,Moreland (C),-37.75505,144.96648
Government,1,2840,Tanjil South Primary School,Primary,O,253 Moe-Willow Grove Road,,Tanjil South,VIC,3825,253 Moe-Willow Grove Road,,TANJIL SOUTH,VIC,3825,03 5160 1255,83,Baw Baw (S),-38.11887,146.2524
Government,1,2859,Pomonal Primary School,Primary,O,2859 Ararat - Halls Gap Road,,Pomonal,VIC,3381,Post Office,,POMONAL,VIC,3381,03 5356 6292,26,Ararat (RC),-37.19344,142.60873
Government,1,2870,Elsternwick Primary School,Primary,O,Murphy Street,,Brighton,VIC,3186,Murphy Street,,BRIGHTON,VIC,3186,03 8534 6100,91,Bayside (C),-37.89142,144.99729
Government,1,2888,Glengarry Primary School,Primary,O,Cairnbrook Road,,Glengarry,VIC,3854,Cairnbrook Road,,GLENGARRY,VIC,3854,03 5192 4292,381,Latrobe (C),-38.12758,146.57134
Government,1,2897,Carnegie Primary School,Primary,O,51 Truganini Road,,Carnegie,VIC,3163,51 Truganini Road,,CARNEGIE,VIC,3163,03 9571 2662,231,Glen Eira (C),-37.89074,145.0545
Government,1,2899,Lang Lang Primary School,Primary,O,52 Westernport Road,,Lang Lang,VIC,3984,52 Westernport Road,,LANG LANG,VIC,3984,03 5997 5322,145,Cardinia (S),-38.26317,145.5694
Government,1,2900,Croydon Primary School,Primary,O,Cnr Kent Avenue & Croydon Road,,Croydon,VIC,3136,P O Box 269,,CROYDON,VIC,3136,03 9723 2472,441,Maroondah (C),-37.79317,145.28132
Government,1,2901,Moonee Ponds West Primary School,Primary,O,150 Athol Street,,Moonee Ponds,VIC,3039,150 Athol Street,,MOONEE PONDS,VIC,3039,03 9370 6875,506,Moonee Valley (C),-37.76895,144.90933
Government,1,2904,Mitcham Primary School,Primary,O,294 Mitcham Road,,Mitcham,VIC,3132,294 Mitcham Road,,MITCHAM,VIC,3132,03 9873 1551,698,Whitehorse (C),-37.80899,145.19272
Government,1,2912,Loch Primary School,Primary,O,2 Victoria Road,,Loch,VIC,3945,2 Victoria Road,,LOCH,VIC,3945,03 5659 4254,617,South Gippsland (S),-38.36862,145.70295
Government,1,2915,Mildura Primary School,Primary,O,175-189 San Mateo Avenue,,Mildura,VIC,3500,175-189 San Mateo Ave,,MILDURA,VIC,3500,03 5023 1851,478,Mildura (RC),-34.19429,142.16049
Government,1,2923,Blackburn Primary School,Primary,O,185 Surrey Road,,Blackburn,VIC,3130,185 SURREY ROAD,,BLACKBURN,VIC,3130,03 9878 1483,698,Whitehorse (C),-37.81657,145.1567
Government,1,2930,Newmerella Primary School,Primary,O,2-4 McLaughlins Road,,Newmerella,VIC,3886,P O Box 75,,Newmerella,VIC,3888,03 5154 1620,211,East Gippsland (S),-37.73547,148.434
Government,1,2932,Port Melbourne Primary School,Primary,O,415 Graham Street,,Port Melbourne,VIC,3207,415 Graham Street,,PORT MELBOURNE,VIC,3207,03 9646 1001,590,Port Phillip (C),-37.83532,144.93381
Government,1,2948,Auburn Primary School,Primary,O,51 Rathmines Road,,Hawthorn East,VIC,3123,51 Rathmines Road,,HAWTHORN EAST,VIC,3123,03 9882 7035,111,Boroondara (C),-37.82028,145.05048
Government,1,2950,Mentone Primary School,Primary,O,6 Childers Street,,Mentone,VIC,3194,6 Childers Street,,MENTONE,VIC,3194,03 9583 2995,343,Kingston (C),-37.98295,145.06797
Government,1,2955,Princes Hill Primary School,Primary,O,280 Pigdon Street,,Carlton North,VIC,3054,280 Pigdon Street,,CARLTON NORTH,VIC,3054,03 9389 5300,735,Yarra (C),-37.7804,144.9681
Government,1,2956,Gruyere Primary School,Primary,O,99 Killara Road,,Gruyere,VIC,3770,P O Box 250,,COLDSTREAM,VIC,3770,03 5964 9260,745,Yarra Ranges (S),-37.73409,145.45039
Government,1,2959,Research Primary School,Primary,O,1570 Main Road,,Research,VIC,3095,1570 Main Road,,RESEARCH,VIC,3095,03 9437 1917,571,Nillumbik (S),-37.70292,145.18357
Government,1,2961,Pearcedale Primary School,Primary,O,Baxter-tooradin Road,,Pearcedale,VIC,3912,P O Box 1474,,PEARCEDALE,VIC,3912,03 5978 6250,161,Casey (C),-38.20301,145.23198
Government,1,2963,Lindenow South Primary School,Primary,O,607 Lindenow-Glenaladale Road,,Lindenow South,VIC,3875,607 Lindenow Glenaladale Road,,Lindenow South,VIC,3875,03 5157 1397,211,East Gippsland (S),-37.82694,147.4339
Government,1,2966,Thorpdale Primary School,Primary,O,19 Robinson Street,,Thorpdale,VIC,3835,P O Box 11,,THORPDALE,VIC,3835,03 5634 6325,83,Baw Baw (S),-38.28846,146.17879
Government,1,2969,St Albans Primary School,Primary,O,39 West Esplanade,,St Albans,VIC,3021,P O Box 126,,ST ALBANS,VIC,3021,03 9366 2832,118,Brimbank (C),-37.73875,144.79577
Government,1,2981,Leongatha Primary School,Primary,O,Nerrena Road,,Leongatha,VIC,3953,Private Bag 2,,LEONGATHA,VIC,3953,03 5667 4600,617,South Gippsland (S),-38.47893,145.95898
Government,1,2988,Jeparit Primary School,Primary,O,Sands Avenue,,Jeparit,VIC,3423,P O Box 58,,JEPARIT,VIC,3423,03 5397 2033,298,Hindmarsh (S),-36.14134,141.98405
Government,1,3016,Toorak Primary School,Primary,O,Canterbury Road,,Toorak,VIC,3142,Canterbury Road,,TOORAK,VIC,3142,03 9827 2959,635,Stonnington (C),-37.84508,145.00991
Government,1,3023,Baxter Primary School,Primary,O,Grant Road,,Baxter,VIC,3911,Grant Road,,BAXTER,VIC,3911,03 5971 1391,534,Mornington Peninsula (S),-38.19966,145.18155
Government,1,3028,Fish Creek and District Primary School,Primary,O,10 Foster Road,,Fish Creek,VIC,3959,10 Foster Road,,Fish Creek,VIC,3959,03 5683 2271,617,South Gippsland (S),-38.69475,146.08442
Government,1,3033,Beaconsfield Primary School,Primary,O,71-77 Old Princes Highway,,Beaconsfield,VIC,3807,P O Box 251,,BEACONSFIELD,VIC,3807,03 9707 1510,145,Cardinia (S),-38.04863,145.37164
Government,1,3050,Metung Primary School,Primary,O,90 Stirling Road,,Metung,VIC,3904,90 Stirling Road,,METUNG,VIC,3904,03 5156 2259,211,East Gippsland (S),-37.88296,147.85246
Government,1,3053,Newhaven Primary School,Primary,O,12-22 School Avenue,,Newhaven,VIC,3925,12-22 School Avenue,,Newhaven,VIC,3925,03 5956 7326,74,Bass Coast (S),-38.51315,145.35686
Government,1,3058,Halls Gap Primary School,Primary,O,10-14 School Road,,Halls Gap,VIC,3381,P O Box,,HALLS GAP,VIC,3381,03 5356 4235,581,Northern Grampians (S),-37.13748,142.51743
Government,1,3067,Tallygaroopna Primary School,Primary,O,24-34 Victoria Street,,Tallygaroopna,VIC,3634,24-34 Victoria Street,,TALLYGAROOPNA,VIC,3634,03 5829 8264,283,Greater Shepparton (C),-36.23861,145.43632
Government,1,3074,Ormond Primary School,Primary,O,121 Wheatley Road,,Ormond,VIC,3204,P O Box 465,,BENTLEIGH,VIC,3204,03 9578 1327,231,Glen Eira (C),-37.907,145.03367
Government,1,3077,Korumburra Primary School,Primary,O,6 - 16 Mine Road,,Korumburra,VIC,3950,Private Bag 1,,KORUMBURRA,VIC,3950,03 5655 1309,617,South Gippsland (S),-38.43513,145.82564
Government,1,3080,Crib Point Primary School,Primary,O,70 Milne Street,,Crib Point,VIC,3919,70 Milne Street,,CRIB POINT,VIC,3919,03 5983 9282,534,Mornington Peninsula (S),-38.36048,145.20054
Government,1,3081,Pascoe Vale Primary School,Primary,O,362 Gaffney Street,,Pascoe Vale,VIC,3044,362 Gaffney Street,,PASCOE VALE,VIC,3044,03 9354 1611,525,Moreland (C),-37.73122,144.93726
Government,1,3098,Flowerdale Primary School,Primary,O,3377 Whittlesea Yea Road,,Flowerdale,VIC,3717,3377 Whittlesea Yea Road,,FLOWERDALE,VIC,3717,03 5780 1264,562,Murrindindi (S),-37.31692,145.29136
Government,1,3100,Ocean Grove Primary School,Primary,O,1 - 23 Draper Street,,Ocean Grove,VIC,3226,1 - 23 Draper Street,,OCEAN GROVE,VIC,3226,03 5255 1340,275,Greater Geelong (C),-38.26399,144.52185
