school_name,address,town,lga_name,x,y
Eaglehawk Secondary College,1-3 Reserve Street Eaglehawk VIC 3556,Eaglehawk,Greater Bendigo (C),-36.72006,144.26163
Eltham High School,30-60 Withers Way Eltham VIC 3095,Eltham,Nillumbik (S),-37.72444,145.14172
Elwood College,101 Glenhuntly Road Elwood VIC 3184,Elwood,Port Phillip (C),-37.88232,144.9852
Epping Secondary College,Mcdonalds Road Epping VIC 3076,Epping,Whittlesea (C),-37.644,145.03343
Euroa Secondary College,26 Campbell St Euroa VIC 3666,Euroa,Strathbogie (S),-36.7582,145.5648
Fairhills High School,Scoresby Road Knoxfield VIC 3180,Knoxfield,Knox (C),-37.87321,145.25904
Bendigo South East 7-10 Secondary College,Ellis Street Bendigo VIC 3550,Bendigo,Greater Bendigo (C),-36.77579,144.29758999999999
Footscray High School,1 Kinnear Street Footscray VIC 3011,Footscray,Maribyrnong (C),-37.79107,144.89401
Foster Secondary College,2 - 10 Pioneer Street Foster VIC 3960,Foster,South Gippsland (S),-38.651740000000004,146.19741000000002
Frankston High School,97 Foot Street Frankston VIC 3199,Frankston,Frankston (C),-38.160470000000004,145.12906999999998
Geelong High School,385 Ryrie Street East Geelong VIC 3219,East Geelong,Greater Geelong (C),-38.15303,144.37373
North Geelong Secondary College,86-132 Separation Street North Geelong VIC 3215,North Geelong,Greater Geelong (C),-38.10996,144.34079
Gisborne Secondary College,95 Melton Road Gisborne VIC 3437,Gisborne,Macedon Ranges (S),-37.49811,144.58477
Gladstone Park Secondary College,14 - 36 Taylor Drive Gladstone Park VIC 3043,Gladstone Park,Hume (C),-37.68977,144.89
Bundoora Secondary College,53 Balmoral Avenue Bundoora VIC 3083,Bundoora,Banyule (C),-37.7075,145.06198
Greater Shepparton Secondary College,1 - 19 Parkside Drive Shepparton VIC 3630,Shepparton,Greater Shepparton (C),-36.357040000000005,145.3919
Western Port Secondary College,215 High Street Hastings VIC 3915,Hastings,Mornington Peninsula (S),-38.308170000000004,145.17638
Healesville High School,10 Camerons Road Healesville VIC 3777,Healesville,Yarra Ranges (S),-37.64359,145.53081
