pollen_type,pollen_count
string,number
plantago,576.3
pinus,532.1
rumex,11.9
chenopodiaceae,64.6
urticaceae,222.7
oleaceae,1344.7
betula,751.4
cupressaceae,23507.6
other,2169.2
poaceae,3775.7
myrtaceae,1490.9
alnus,103.7
asteraceae,124.1
casuarina,139.4
quercus,1161.1
acacia,79.9
ulmus,119.0
