pollen_type,pollen_count
string,number
plantago,785.4
pinus,399.5
rumex,112.2
chenopodiaceae,51.0
urticaceae,442.0
oleaceae,1761.2
betula,1802.0
cupressaceae,25109.0
other,765.0
poaceae,4284.0
myrtaceae,2138.6
alnus,632.4
asteraceae,119.0
casuarina,159.8
quercus,1643.9
acacia,78.2
ulmus,217.6
